formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
5,"G[0,4900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008454118280,0.000000422706,0.422706,general,4900
5,"G[0,5000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.008358288300,0.000000417914,0.417914,general,5000
6,"F[0,1] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.002862279180,0.000000143114,0.143114,general,1
6,"F[0,100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005232711760,0.000000261636,0.261636,general,100
6,"F[0,200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006033948420,0.000000301697,0.301697,general,200
6,"F[0,300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006412902460,0.000000320645,0.320645,general,300
6,"F[0,400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006606885800,0.000000330344,0.330344,general,400
6,"F[0,500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006888177540,0.000000344409,0.344409,general,500
6,"F[0,600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007084867460,0.000000354243,0.354243,general,600
6,"F[0,700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007096630960,0.000000354832,0.354832,general,700
6,"F[0,800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007167330760,0.000000358367,0.358367,general,800
6,"F[0,900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007227582500,0.000000361379,0.361379,general,900
6,"F[0,1000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007260682440,0.000000363034,0.363034,general,1000
6,"F[0,1100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007361345840,0.000000368067,0.368067,general,1100
6,"F[0,1200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007332380780,0.000000366619,0.366619,general,1200
6,"F[0,1300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007399566640,0.000000369978,0.369978,general,1300
6,"F[0,1400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007330593320,0.000000366530,0.366530,general,1400
6,"F[0,1500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007380188300,0.000000369009,0.369009,general,1500
6,"F[0,1600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007301358360,0.000000365068,0.365068,general,1600
6,"F[0,1700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007324504200,0.000000366225,0.366225,general,1700
6,"F[0,1800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007347560000,0.000000367378,0.367378,general,1800
6,"F[0,1900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007400169280,0.000000370008,0.370008,general,1900
6,"F[0,2000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007366973400,0.000000368349,0.368349,general,2000
6,"F[0,2100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007392490760,0.000000369625,0.369625,general,2100
6,"F[0,2200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007290342500,0.000000364517,0.364517,general,2200
6,"F[0,2300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007325528320,0.000000366276,0.366276,general,2300
6,"F[0,2400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007374286600,0.000000368714,0.368714,general,2400
6,"F[0,2500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007384713380,0.000000369236,0.369236,general,2500
6,"F[0,2600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007317066740,0.000000365853,0.365853,general,2600
6,"F[0,2700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007273174180,0.000000363659,0.363659,general,2700
6,"F[0,2800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007320223260,0.000000366011,0.366011,general,2800
6,"F[0,2900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007298375760,0.000000364919,0.364919,general,2900
6,"F[0,3000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007337887520,0.000000366894,0.366894,general,3000
6,"F[0,3100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007359321580,0.000000367966,0.367966,general,3100
6,"F[0,3200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007282538420,0.000000364127,0.364127,general,3200
