formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
139,"(x < 0.0) U[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6416446049600085,3.208223024800042e-05,32.08223024800042,3600.0
140,"(x < 0.0) U[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6573268391800184,3.2866341959000924e-05,32.86634195900093,3700.0
141,"(x < 0.0) U[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6704124057399986,3.352062028699993e-05,33.52062028699993,3800.0
142,"(x < 0.0) U[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6855683658400039,3.42784182920002e-05,34.2784182920002,3900.0
143,"(x < 0.0) U[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.6997164899399831,3.4985824496999155e-05,34.98582449699916,4000.0
144,"(x < 0.0) U[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.7345641699799853,3.6728208498999266e-05,36.728208498999265,4100.0
145,"(x < 0.0) U[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.7477458834199752,3.738729417099876e-05,37.38729417099876,4200.0
146,"(x < 0.0) U[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.7686765442200066,3.843382721100033e-05,38.43382721100033,4300.0
147,"(x < 0.0) U[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.7927429733600048,3.963714866800024e-05,39.63714866800024,4400.0
148,"(x < 0.0) U[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.8269293399799972,4.134646699899986e-05,41.34646699899986,4500.0
149,"(x < 0.0) U[0,4600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.8472735408200015,4.2363677041000074e-05,42.363677041000074,4600.0
150,"(x < 0.0) U[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.8705483850599967,4.3527419252999835e-05,43.527419252999834,4700.0
151,"(x < 0.0) U[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.8956462158799877,4.478231079399939e-05,44.782310793999386,4800.0
152,"(x < 0.0) U[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.9141266242199981,4.570633121099991e-05,45.70633121099991,4900.0
153,"(x < 0.0) U[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.9283235617999799,4.6416178089998997e-05,46.41617808999899,5000.0
154,(x < 0.5) and (x > -0.5),DelayedQuantitative,Incremental,online,20000,50,0.005107818319997932,2.553909159998966e-07,0.2553909159998966,0.0
155,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQuantitative,Incremental,online,20000,50,0.014517563299996254,7.258781649998127e-07,0.7258781649998127,1100.0
