timestamp,sizeN,M,approach,mean_elapsed_s,std_elapsed_s,formula,all_means
2025-12-02 17:56:42,20000,50,online,16.084836,0.013563,"not (x[t]<0.5)","[16.1019072916667;16.1045985416667;16.0908970416667;16.1029833333333;16.09171575;16.076317;16.092854375;16.0742050416667;16.0814639166667;16.0928954583333;16.0527125;16.0686005833333;16.0963644166667;16.1019996666667;16.0973599583333;16.0696346666667;16.0958060833333;16.0777412083333;16.0965365416667;16.0917642083333;16.0855862916667;16.0966551666667;16.061813;16.092573;16.0730055833333;16.092600625;16.0872757083333;16.0743660833333;16.0790673333333;16.0988941666667;16.0757230416667;16.098418;16.07294125;16.0853575416667;16.0927957916667;16.0574697083333;16.085813125;16.0973268333333;16.090288375;16.0850817083333;16.1020569166667;16.0765795416667;16.0798827916667;16.0910233333333;16.0735466666667;16.075446;16.1020355833333;16.08249375;16.0507489583333;16.0665724166667]"
2025-12-02 18:00:08,5000,50,classic,4.110377,0.012361,"not (x[t]<0.5)","[4.17491845833333;4.111088875;4.11032591666667;4.12283041666667;4.10084370833333;4.10297104166667;4.12719375;4.108459375;4.1046475;4.120207125;4.10460883333333;4.10298570833333;4.11403841666667;4.10169491666667;4.110342625;4.11571754166667;4.11320375;4.09808045833333;4.11113570833333;4.11073908333333;4.10110466666667;4.10988683333333;4.09926720833333;4.10233333333333;4.117731;4.11163958333333;4.103776625;4.103205;4.1097125;4.09893104166667;4.10743666666667;4.11591708333333;4.11038704166667;4.10695616666667;4.12213383333333;4.099282;4.10877241666667;4.10613954166667;4.105142625;4.10680104166667;4.110720625;4.11393041666667;4.10646354166667;4.1151585;4.10654575;4.12213079166667;4.11592541666667;4.087932625;4.09717941666667;4.13029391666667]"
2025-12-02 18:06:59,10000,50,classic,8.216461,0.013034,"not (x[t]<0.5)","[8.24430591666667;8.206810125;8.2101245;8.19243029166667;8.20046225;8.23566808333333;8.19950754166667;8.21271158333333;8.20659516666667;8.18880470833333;8.21867020833333;8.21590658333333;8.24874154166667;8.209991;8.20751008333333;8.21211375;8.21041475;8.20782516666667;8.20585758333333;8.22243754166667;8.21800129166667;8.21221925;8.24377675;8.2169925;8.230442375;8.219915375;8.212365375;8.22286329166667;8.228663125;8.21769904166667;8.20527325;8.2128325;8.2024425;8.21636154166667;8.24256958333333;8.20032320833333;8.23201833333333;8.21609508333333;8.221456125;8.22183770833333;8.22613329166667;8.21392783333333;8.23051083333333;8.21836208333333;8.19917504166667;8.218797;8.2276325;8.20577145833333;8.21480841666667;8.21687116666667]"
2025-12-02 18:20:41,20000,50,classic,16.450804,0.046020,"not (x[t]<0.5)","[16.4973127083333;16.4467279583333;16.4329584583333;16.453503;16.450946;16.4435069583333;16.4526853333333;16.429398;16.440774875;16.4458417083333;16.449372125;16.4096922083333;16.4347280416667;16.440459375;16.4377360416667;16.4322817916667;16.4287249583333;16.4768747083333;16.425533;16.4304936666667;16.4312095833333;16.4555823333333;16.42058975;16.4402766666667;16.6993346666667;16.59487875;16.498521875;16.4715749583333;16.4898147916667;16.4613620833333;16.4261380416667;16.439314125;16.4671448333333;16.418525375;16.430851375;16.4357766666667;16.4304810416667;16.4339889583333;16.448573875;16.45642125;16.4225429583333;16.4204995416667;16.4510910833333;16.4221944166667;16.4298934166667;16.4369222083333;16.4372224583333;16.4361012083333;16.4465213333333;16.4272819583333]"
2025-12-02 18:21:26,5000,50,thom,0.899430,0.014327,"not (x[t]<0.5)","[0.95884525;0.89633225;0.894041833333333;0.887076458333333;0.889847208333333;0.894628;0.898173833333333;0.8979795;0.896574375;0.896320458333333;0.878501;0.906827;0.918891916666667;0.950565958333333;0.926986875;0.896454541666667;0.896135666666667;0.885316583333333;0.895936375;0.908671875;0.898833875;0.901431583333333;0.898847333333333;0.902103333333333;0.8809055;0.898691291666667;0.900149291666667;0.897017041666667;0.8941835;0.891728375;0.900192166666667;0.884981291666667;0.9029765;0.9155355;0.89943175;0.905754708333333;0.898179125;0.887901375;0.883901125;0.8918595;0.897077541666667;0.899460583333333;0.898148208333333;0.897247;0.887618166666667;0.899242708333333;0.89251325;0.900016833333333;0.893684416666667;0.897779916666667]"
2025-12-02 18:22:56,10000,50,thom,1.798210,0.013057,"not (x[t]<0.5)","[1.82538166666667;1.79878083333333;1.79288683333333;1.782527375;1.79180716666667;1.8037275;1.80796720833333;1.78086733333333;1.78360020833333;1.79343029166667;1.79358970833333;1.81786629166667;1.80813379166667;1.80629379166667;1.79399658333333;1.79582895833333;1.79189458333333;1.77997008333333;1.81670075;1.81421925;1.831594875;1.79515908333333;1.80271904166667;1.80185654166667;1.787045625;1.80309941666667;1.80443845833333;1.780142125;1.79946895833333;1.78800254166667;1.78659058333333;1.79379845833333;1.80220608333333;1.811855;1.788918;1.78624545833333;1.82092145833333;1.788244875;1.80795545833333;1.81594845833333;1.80393516666667;1.78668608333333;1.783377375;1.79012270833333;1.77473358333333;1.80700666666667;1.8047935;1.81191233333333;1.779767375;1.79247941666667]"
2025-12-02 18:25:56,20000,50,thom,3.596277,0.018934,"not (x[t]<0.5)","[3.60391620833333;3.64855391666667;3.61766654166667;3.57908375;3.62007541666667;3.572598125;3.59228316666667;3.58559995833333;3.59675141666667;3.59869420833333;3.59534170833333;3.630025375;3.58821625;3.601302125;3.57372866666667;3.610704625;3.60554333333333;3.58819658333333;3.59629816666667;3.585468125;3.585962875;3.59232658333333;3.59477191666667;3.60657183333333;3.58732183333333;3.61047966666667;3.563526375;3.56271204166667;3.59511429166667;3.61755729166667;3.56612120833333;3.564565625;3.62634558333333;3.59327745833333;3.595117125;3.57646725;3.60684045833333;3.60065833333333;3.6163955;3.58728420833333;3.57102025;3.58929808333333;3.59206033333333;3.62254029166667;3.56901666666667;3.585850625;3.617851;3.596163625;3.60804475;3.62255266666667]"
2025-12-02 18:29:27,5000,50,online,4.206970,0.028454,"alw_[0,10] (x[t]<0.5)","[4.39321745833333;4.20204104166667;4.20999816666667;4.20381925;4.203928625;4.238934875;4.208667375;4.200028375;4.21278191666667;4.20000408333333;4.20459045833333;4.21319933333333;4.19652441666667;4.21776445833333;4.19829620833333;4.19889633333333;4.20432379166667;4.20749708333333;4.21201558333333;4.2026175;4.19930708333333;4.189795;4.20702654166667;4.20393458333333;4.184557;4.19750075;4.19659541666667;4.21767325;4.20818754166667;4.20600854166667;4.19011679166667;4.19225808333333;4.19647529166667;4.1883195;4.195118875;4.20192675;4.19056308333333;4.191894375;4.195862625;4.20404454166667;4.20009983333333;4.21994670833333;4.20279;4.201884875;4.21427108333333;4.20186745833333;4.20913383333333;4.20242345833333;4.20686329166667;4.202895875]"
2025-12-02 18:36:27,10000,50,online,8.416329,0.030938,"alw_[0,10] (x[t]<0.5)","[8.42134325;8.39859529166667;8.40439629166667;8.41419316666667;8.41340008333333;8.39787054166667;8.38854704166667;8.40898704166667;8.40069391666667;8.399258625;8.43199566666667;8.52629766666667;8.54023804166667;8.512039375;8.42393608333333;8.421681375;8.41503229166667;8.4331955;8.42420804166667;8.41175075;8.41067816666667;8.41313258333333;8.4244975;8.40206966666667;8.41949716666667;8.402880375;8.41255775;8.41645416666667;8.410046625;8.42499675;8.39430191666667;8.421860875;8.39789933333333;8.40922491666667;8.39824975;8.38791295833333;8.42647929166667;8.39700204166667;8.40280620833333;8.413950375;8.38534258333333;8.41365429166667;8.40499591666667;8.38995554166667;8.4007515;8.44687783333333;8.40152479166667;8.40096116666667;8.40380154166667;8.39442370833333]"
2025-12-02 18:50:28,20000,50,online,16.812545,0.021481,"alw_[0,10] (x[t]<0.5)","[16.90882775;16.8397045833333;16.8437716666667;16.81784875;16.7987735;16.834376625;16.8018235833333;16.8210651666667;16.8258414583333;16.8094950416667;16.8268882083333;16.783646;16.8174423333333;16.80555925;16.7855022916667;16.8097931666667;16.811243125;16.8085158333333;16.8044281666667;16.8208878333333;16.8233715833333;16.779718375;16.81885425;16.8056786666667;16.8029573333333;16.7973619166667;16.8168284166667;16.8092693333333;16.7835570833333;16.7770312916667;16.81449425;16.8058014166667;16.8079200416667;16.8255675833333;16.8000534166667;16.7899970833333;16.793580625;16.8377635;16.7897793333333;16.8056199583333;16.8322880416667;16.8282335833333;16.8251621666667;16.813640875;16.8186340833333;16.8061861666667;16.7866085416667;16.8029624166667;16.8392285833333;16.8136684583333]"
2025-12-02 18:53:57,5000,50,classic,4.186849,0.012332,"alw_[0,10] (x[t]<0.5)","[4.24841404166667;4.19035654166667;4.18765220833333;4.193873125;4.18911966666667;4.20276266666667;4.18049775;4.18277966666667;4.19622675;4.17766829166667;4.187477125;4.19249145833333;4.180836125;4.18152883333333;4.17770958333333;4.17216904166667;4.18554829166667;4.18063408333333;4.19513695833333;4.188512875;4.20269558333333;4.16855225;4.18619733333333;4.18882708333333;4.18723720833333;4.18211391666667;4.20321008333333;4.18020816666667;4.1757745;4.19306395833333;4.17827825;4.17980670833333;4.1806405;4.16794558333333;4.19350883333333;4.19736258333333;4.178711375;4.19308491666667;4.18743145833333;4.17633420833333;4.20391770833333;4.18578329166667;4.19161883333333;4.18380975;4.18100929166667;4.17819491666667;4.17783420833333;4.177023375;4.182846625;4.18804958333333]"
2025-12-02 19:00:56,10000,50,classic,8.365964,0.011289,"alw_[0,10] (x[t]<0.5)","[8.39945816666667;8.35333933333333;8.358137625;8.36054208333333;8.37053133333333;8.36195208333333;8.361255;8.35991320833333;8.36795758333333;8.36820745833333;8.376368875;8.38009029166667;8.35909333333333;8.36697091666667;8.37959629166667;8.35853291666667;8.36409933333333;8.35363216666667;8.357754;8.37631729166667;8.3634605;8.35994666666667;8.359496625;8.38886079166667;8.36854245833333;8.39496766666667;8.380686;8.36659616666667;8.37843345833333;8.3543985;8.3425345;8.36630925;8.36452129166667;8.35201691666667;8.35260291666667;8.36909058333333;8.35457858333333;8.36851758333333;8.36888641666667;8.34709366666667;8.35985691666667;8.36506720833333;8.37189283333333;8.37096695833333;8.35221645833333;8.37242670833333;8.367828125;8.35927579166667;8.37109204166667;8.37230445833333]"
